Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of the Leopard	100	1	1	15	35	12				9	54	dex%		3	5											1hsw	2hsw	miss								0	0	0
of the Leopard	100	1	1	25	60	24				8	54	dex%		5	8											1hsw	2hsw	miss								0	0	0
of the Cheetah	100	1	1	45	95	42				7	54	dex%		7	11											1hsw	2hsw	miss								0	0	0
of the Cheetah	100	1	1	80		60				6	54	dex%		9	14											1hsw	2hsw	miss								0	0	0
of the Cheetah	100	1	1	95		66				5	54	dex%		11	17											1hsw	2hsw	miss								0	0	0
of the Cheetah	100	1	1	95		66				4	54	dex%		13	20											2hsw										0	0	0
																																						
of the Oracle	100	1	1	5	15	3				9	55	enr%		1	2											1hcw	2hcw									0	0	0
of the Oracle	100	1	1	15	35	12				9	55	enr%		3	5											1hcw	2hcw									0	0	0
of the Oracle	100	1	1	25	60	24				8	55	enr%		5	8											1hcw	2hcw									0	0	0
of Virtuosity	100	1	1	45	95	42				7	55	enr%		7	11											1hcw	2hcw									0	0	0
of Virtuosity	100	1	1	80		60				6	55	enr%		9	14											1hcw	2hcw									0	0	0
of Virtuosity	100	1	1	95		66				5	55	enr%		11	17											1hcw	2hcw									0	0	0
of Virtuosity	100	1	1	95		66				4	55	enr%		13	20											2hcw										0	0	0
																																						
of Readiness	100	1	1	1	10	1				28	56	swing1		2	4											1hsw	2hsw	miss								0	0	0
of Readiness	100	1	1	5	15	3				28	56	swing1		5	7											1hsw	2hsw	miss								0	0	0
of Readiness	100	1	1	10	20	6				28	56	swing1		8	10											1hsw	2hsw	miss								0	0	0
of Alacrity	100	1	1	15	35	12				28	56	swing1		11	13											1hsw	2hsw	miss								0	0	0
of Alacrity	100	1	1	20	45	18				28	56	swing1		14	16											1hsw	2hsw	miss								0	0	0
of Alacrity	100	1	1	25	60	24				28	56	swing1		17	19											1hsw	2hsw	miss								0	0	0
of Swiftness	100	1	1	35	80	33				28	56	swing2		20	22											1hsw	2hsw	miss								0	0	0
of Swiftness	100	1	1	45	95	42				28	56	swing2		23	25											1hsw	2hsw	miss								0	0	0
of Swiftness	100	1	1	60		48				28	56	swing2		20	22											1hsw	2hsw	miss								0	0	0
of Quickness	100	1	1	80		60				24	56	swing2		31	35											1hsw	2hsw	miss								0	0	0
of Quickness	100	1	1	95		66				22	56	swing2		36	40											1hsw	2hsw	miss								0	0	0
of Fervour	100	1	1	95		66				20	56	swing3		41	45											2hsw	miss									0	0	0
																																						
of the Magus	100	1	1	1	10	1				28	57	cast1		2	4											1hcw	2hcw									0	0	0
of the Magus	100	1	1	5	15	3				28	57	cast1		5	7											1hcw	2hcw									0	0	0
of the Magus	100	1	1	10	20	6				28	57	cast1		8	10											1hcw	2hcw									0	0	0
of the Conjurer	100	1	1	15	35	12				28	57	cast1		11	13											1hcw	2hcw									0	0	0
of the Conjurer	100	1	1	20	45	18				28	57	cast1		14	16											1hcw	2hcw									0	0	0
of the Conjurer	100	1	1	25	60	24				28	57	cast1		17	19											1hcw	2hcw									0	0	0
of the Diviner	100	1	1	35	80	33				28	57	cast2		20	22											1hcw	2hcw									0	0	0
of the Diviner	100	1	1	45	95	42				28	57	cast2		23	25											1hcw	2hcw									0	0	0
of the Diviner	100	1	1	60		48				28	57	cast2		20	22											1hcw	2hcw									0	0	0
of the Foreseer	100	1	1	80		60				24	57	cast2		31	35											1hcw	2hcw									0	0	0
of the Foreseer	100	1	1	95		66				22	57	cast2		36	40											1hcw	2hcw									0	0	0
of the Visionary	100	1	1	95		66				20	57	cast3		41	45											2hcw										0	0	0
																																						
of the Leech	100	1	1	5	15	3				18	58	lifesteal		1	2											1hsw	2hsw	miss								0	0	0
of the Leech	100	1	1	15	35	12				18	58	lifesteal		3	4											1hsw	2hsw	miss								0	0	0
of the Locust	100	1	1	25	60	24				18	58	lifesteal		5	6											1hsw	2hsw	miss								0	0	0
of the Locust	100	1	1	45	95	42				16	58	lifesteal		7	8											1hsw	2hsw	miss								0	0	0
of the Lamprey	100	1	1	80		60				14	58	lifesteal		9	10											1hsw	2hsw	miss								0	0	0
of the Lamprey	100	1	1	95		66				12	58	lifesteal		11	12											1hsw	2hsw	miss								0	0	0
																																						
of the Bat	100	1	1	5	15	3				18	59	manasteal		1	2											1hsw	2hsw	miss								0	0	0
of the Bat	100	1	1	15	35	12				18	59	manasteal		3	4											1hsw	2hsw	miss								0	0	0
of the Wraith	100	1	1	25	60	24				18	59	manasteal		5	6											1hsw	2hsw	miss								0	0	0
of the Wraith	100	1	1	45	95	42				16	59	manasteal		7	8											1hsw	2hsw	miss								0	0	0
of the Vampire	100	1	1	80		60				14	59	manasteal		9	10											1hsw	2hsw	miss								0	0	0
of the Vampire	100	1	1	95		66				12	59	manasteal		11	12											1hsw	2hsw	miss								0	0	0
																																						
of the Bloodmad	100	1	1	5	15	3				18	60	heal-kill		2	4											1hcw	2hcw									0	0	0
of the Bloodmad	100	1	1	15	35	12				18	60	heal-kill		6	8											1hcw	2hcw									0	0	0
of the Bloodsworn	100	1	1	25	60	24				18	60	heal-kill		10	12											1hcw	2hcw									0	0	0
of the Bloodsworn	100	1	1	45	95	42				16	60	heal-kill		14	16											1hcw	2hcw									0	0	0
of the Bloodlord	100	1	1	80		60				14	60	heal-kill		18	20											1hcw	2hcw									0	0	0
of the Bloodlord	100	1	1	95		66				12	60	heal-kill		22	24											1hcw	2hcw									0	0	0
																																						
of Mana Leak	100	1	1	5	15	3				18	61	mana-kill		2	4											1hcw	2hcw									0	0	0
of Mana Leak	100	1	1	15	35	12				18	61	mana-kill		6	8											1hcw	2hcw									0	0	0
of Mana Drain	100	1	1	25	60	24				18	61	mana-kill		10	12											1hcw	2hcw									0	0	0
of Mana Drain	100	1	1	45	95	42				16	61	mana-kill		14	16											1hcw	2hcw									0	0	0
of Mana Breach	100	1	1	80		60				14	61	mana-kill		18	20											1hcw	2hcw									0	0	0
of Mana Breach	100	1	1	95		66				12	61	mana-kill		22	24											1hcw	2hcw									0	0	0
																																						
of the Deathless	100	1	1	5	15	3				18	62	deadly		2	4											2hsw	miss									0	0	0
of the Deathless	100	1	1	15	35	12				18	62	deadly		6	8											2hsw	miss									0	0	0
of the Deathbringer	100	1	1	25	60	24				18	62	deadly		10	12											2hsw	miss									0	0	0
of the Deathbringer	100	1	1	45	95	42				16	62	deadly		14	16											2hsw	miss									0	0	0
of the Deathmark	100	1	1	80		60				14	62	deadly		18	20											2hsw	miss									0	0	0
of the Deathmark	100	1	1	95		66				12	62	deadly		22	24											2hsw	miss									0	0	0
																																						
of Mauling	100	1	1	5	15	3				18	63	crush		1	2											1hsw										0	0	0
of Mauling	100	1	1	15	35	12				18	63	crush		3	4											1hsw										0	0	0
of the Mauler	100	1	1	25	60	24				18	63	crush		5	6											1hsw										0	0	0
of the Mauler	100	1	1	45	95	42				16	63	crush		7	8											1hsw										0	0	0
of the Maulhorn	100	1	1	80		60				14	63	crush		9	10											1hsw										0	0	0
of the Maulhorn	100	1	1	95		66				12	63	crush		11	12											1hsw										0	0	0
																																						
of Aurora	100	1	1	80		60				2	64	aura	Might	3	6											1hsw	2hsw	miss								0	0	0
of Aurora	100	1	1	95		66				1	64	aura	Might	7	10											1hsw	2hsw	miss								0	0	0
of Aurora	100	1	1	80		60				2	64	aura	Fanaticism	3	6											1hsw	2hsw	miss								0	0	0
of Aurora	100	1	1	95		66				1	64	aura	Fanaticism	7	10											1hsw	2hsw	miss								0	0	0
of Aurora	100	1	1	80		60				2	64	aura	Concentration	3	6											1hsw	2hsw	miss								0	0	0
of Aurora	100	1	1	95		66				1	64	aura	Concentration	7	10											1hsw	2hsw	miss								0	0	0
of Aurora	100	1	1	80		60				2	64	aura	Blessed Aim	3	6											1hsw	2hsw	miss								0	0	0
of Aurora	100	1	1	95		66				1	64	aura	Blessed Aim	7	10											1hsw	2hsw	miss								0	0	0
																																						
of Aurora	100	1	1	95		66				1	64	aura	Redemption	1	1											1hcw	2hcw									0	0	0
of Aurora	100	1	1	80		60				2	64	aura	Redemption	1	3											1hcw	2hcw									0	0	0
of Aurora	100	1	1	95		66				1	64	aura	Salvation	1	1											1hcw	2hcw									0	0	0
of Aurora	100	1	1	80		60				2	64	aura	Salvation	1	3											1hcw	2hcw									0	0	0
																																						
of Fire Balls	100	1	1	5	15	3				12	65	hit-skill	Fireballs	5	5											1hsw	2hsw	miss								0	0	0
of Fire Balls	100	1	1	15	35	12				12	65	hit-skill	Fireballs	5	10											1hsw	2hsw	miss								0	0	0
of Fire Balls	100	1	1	25	60	24				10	65	hit-skill	Fireballs	5	15											1hsw	2hsw	miss								0	0	0
of Fire Balls	100	1	1	45	95	42				8	65	hit-skill	Fireballs	5	25											1hsw	2hsw	miss								0	0	0
of Fire Balls	100	1	1	80		60				6	65	hit-skill	Fireballs	5	35											1hsw	2hsw	miss								0	0	0
of Fire Balls	100	1	1	95		66				4	65	hit-skill	Fireballs	5	50											1hsw	2hsw	miss								0	0	0
of Fire Balls	100	1	1	95		66				2	65	hit-skill	Fireballs	5	65											1hsw	2hsw	miss								0	0	0
																																						
of Fire Bolts	100	1	1	5	15	3				12	65	hit-skill	Firebolts	5	5											1hsw	2hsw	miss								0	0	0
of Fire Bolts	100	1	1	15	35	12				12	65	hit-skill	Firebolts	5	10											1hsw	2hsw	miss								0	0	0
of Fire Bolts	100	1	1	25	60	24				10	65	hit-skill	Firebolts	5	15											1hsw	2hsw	miss								0	0	0
of Fire Bolts	100	1	1	45	95	42				8	65	hit-skill	Firebolts	5	25											1hsw	2hsw	miss								0	0	0
of Fire Bolts	100	1	1	80		60				6	65	hit-skill	Firebolts	5	35											1hsw	2hsw	miss								0	0	0
of Fire Bolts	100	1	1	95		66				4	65	hit-skill	Firebolts	5	50											1hsw	2hsw	miss								0	0	0
of Fire Bolts	100	1	1	95		66				2	65	hit-skill	Firebolts	5	65											1hsw	2hsw	miss								0	0	0
																																						
of Chain Lightning	100	1	1	5	15	3				12	65	hit-skill	Chain Lightning	5	5											1hsw	2hsw	miss								0	0	0
of Chain Lightning	100	1	1	15	35	12				12	65	hit-skill	Chain Lightning	5	10											1hsw	2hsw	miss								0	0	0
of Chain Lightning	100	1	1	25	60	24				10	65	hit-skill	Chain Lightning	5	15											1hsw	2hsw	miss								0	0	0
of Chain Lightning	100	1	1	45	95	42				8	65	hit-skill	Chain Lightning	5	25											1hsw	2hsw	miss								0	0	0
of Chain Lightning	100	1	1	80		60				6	65	hit-skill	Chain Lightning	5	35											1hsw	2hsw	miss								0	0	0
of Chain Lightning	100	1	1	95		66				4	65	hit-skill	Chain Lightning	5	50											1hsw	2hsw	miss								0	0	0
of Chain Lightning	100	1	1	95		66				2	65	hit-skill	Chain Lightning	5	65											1hsw	2hsw	miss								0	0	0
																																						
of Plasma Rain	100	1	1	5	15	3				12	65	hit-skill	Pole Arm Mastery	5	5											1hsw	2hsw	miss								0	0	0
of Plasma Rain	100	1	1	15	35	12				12	65	hit-skill	Pole Arm Mastery	5	10											1hsw	2hsw	miss								0	0	0
of Plasma Rain	100	1	1	25	60	24				10	65	hit-skill	Pole Arm Mastery	5	15											1hsw	2hsw	miss								0	0	0
of Plasma Rain	100	1	1	45	95	42				8	65	hit-skill	Pole Arm Mastery	5	25											1hsw	2hsw	miss								0	0	0
of Plasma Rain	100	1	1	80		60				6	65	hit-skill	Pole Arm Mastery	5	35											1hsw	2hsw	miss								0	0	0
of Plasma Rain	100	1	1	95		66				4	65	hit-skill	Pole Arm Mastery	5	50											1hsw	2hsw	miss								0	0	0
of Plasma Rain	100	1	1	95		66				2	65	hit-skill	Pole Arm Mastery	5	65											1hsw	2hsw	miss								0	0	0
																																						
of Ice Fangs	100	1	1	5	15	3				12	65	hit-skill	STeeth	5	5											1hsw	2hsw	miss								0	0	0
of Ice Fangs	100	1	1	15	35	12				12	65	hit-skill	STeeth	5	10											1hsw	2hsw	miss								0	0	0
of Ice Fangs	100	1	1	25	60	24				10	65	hit-skill	STeeth	5	15											1hsw	2hsw	miss								0	0	0
of Ice Fangs	100	1	1	45	95	42				8	65	hit-skill	STeeth	5	25											1hsw	2hsw	miss								0	0	0
of Ice Fangs	100	1	1	80		60				6	65	hit-skill	STeeth	5	35											1hsw	2hsw	miss								0	0	0
of Ice Fangs	100	1	1	95		66				4	65	hit-skill	STeeth	5	50											1hsw	2hsw	miss								0	0	0
of Ice Fangs	100	1	1	95		66				2	65	hit-skill	STeeth	5	65											1hsw	2hsw	miss								0	0	0
																																						
of Blizzard	100	1	1	5	15	3				12	65	hit-skill	ctcBlizzard	5	5											1hsw	2hsw	miss								0	0	0
of Blizzard	100	1	1	15	35	12				12	65	hit-skill	ctcBlizzard	5	10											1hsw	2hsw	miss								0	0	0
of Blizzard	100	1	1	25	60	24				10	65	hit-skill	ctcBlizzard	5	15											1hsw	2hsw	miss								0	0	0
of Blizzard	100	1	1	45	95	42				8	65	hit-skill	ctcBlizzard	5	25											1hsw	2hsw	miss								0	0	0
of Blizzard	100	1	1	80		60				6	65	hit-skill	ctcBlizzard	5	35											1hsw	2hsw	miss								0	0	0
of Blizzard	100	1	1	95		66				4	65	hit-skill	ctcBlizzard	5	50											1hsw	2hsw	miss								0	0	0
of Blizzard	100	1	1	95		66				2	65	hit-skill	ctcBlizzard	5	65											1hsw	2hsw	miss								0	0	0
																																						
of Poison Nova	100	1	1	5	15	3				12	65	hit-skill	Poison Nova	5	5											1hsw	2hsw	miss								0	0	0
of Poison Nova	100	1	1	15	35	12				12	65	hit-skill	Poison Nova	5	10											1hsw	2hsw	miss								0	0	0
of Poison Nova	100	1	1	25	60	24				10	65	hit-skill	Poison Nova	5	15											1hsw	2hsw	miss								0	0	0
of Poison Nova	100	1	1	45	95	42				8	65	hit-skill	Poison Nova	5	25											1hsw	2hsw	miss								0	0	0
of Poison Nova	100	1	1	80		60				6	65	hit-skill	Poison Nova	5	35											1hsw	2hsw	miss								0	0	0
of Poison Nova	100	1	1	95		66				4	65	hit-skill	Poison Nova	5	50											1hsw	2hsw	miss								0	0	0
of Poison Nova	100	1	1	95		66				2	65	hit-skill	Poison Nova	5	65											1hsw	2hsw	miss								0	0	0
																																						
of Earth Spikes	100	1	1	5	15	3				12	65	hit-skill	Eruption	5	5											1hsw	2hsw	miss								0	0	0
of Earth Spikes	100	1	1	15	35	12				12	65	hit-skill	Eruption	5	10											1hsw	2hsw	miss								0	0	0
of Earth Spikes	100	1	1	25	60	24				10	65	hit-skill	Eruption	5	15											1hsw	2hsw	miss								0	0	0
of Earth Spikes	100	1	1	45	95	42				8	65	hit-skill	Eruption	5	25											1hsw	2hsw	miss								0	0	0
of Earth Spikes	100	1	1	80		60				6	65	hit-skill	Eruption	5	35											1hsw	2hsw	miss								0	0	0
of Earth Spikes	100	1	1	95		66				4	65	hit-skill	Eruption	5	50											1hsw	2hsw	miss								0	0	0
of Earth Spikes	100	1	1	95		66				2	65	hit-skill	Eruption	5	65											1hsw	2hsw	miss								0	0	0
																																						
of Restoration	100	1	1	5	15	3				28	66	regen		10	15	hp/lvl	2									1hcw	2hcw									0	0	0
of Restoration	100	1	1	15	35	12				28	66	regen		16	20	hp/lvl	2									1hcw	2hcw									0	0	0
of Restoration	100	1	1	25	60	24				26	66	regen		21	25	hp/lvl	2									1hcw	2hcw									0	0	0
of Restoration	100	1	1	25		24				26	66	regen		21	25	hp/lvl	2									1hcw										0	0	0
of Regrowth	100	1	1	45		42				24	66	regen		26	30	hp/lvl	2									1hcw										0	0	0
of Regrowth	100	1	1	45	95	42				24	66	regen		26	30	hp/lvl	2									2hcw										0	0	0
of Regrowth	100	1	1	80		60				22	66	regen		31	35	hp/lvl	3									2hcw										0	0	0
of Regrowth	100	1	1	95		66				20	66	regen		36	40	hp/lvl	3									2hcw										0	0	0
																																						
of Rejuvenation	100	1	1	5	15	3				28	67	regen-mana		10	15	mana/lvl	3									1hcw	2hcw									0	0	0
of Rejuvenation	100	1	1	15	35	12				28	67	regen-mana		16	20	mana/lvl	3									1hcw	2hcw									0	0	0
of Rejuvenation	100	1	1	25	60	24				26	67	regen-mana		21	25	mana/lvl	3									1hcw	2hcw									0	0	0
of Rejuvenation	100	1	1	25		24				26	67	regen-mana		21	25	mana/lvl	3									1hcw										0	0	0
of Resurgence	100	1	1	45		42				24	67	regen-mana		26	30	mana/lvl	3									1hcw										0	0	0
of Resurgence	100	1	1	45	95	42				24	67	regen-mana		26	30	mana/lvl	3									2hcw										0	0	0
of Resurgence	100	1	1	80		60				22	67	regen-mana		31	35	mana/lvl	4									2hcw										0	0	0
of Resurgence	100	1	1	95		66				20	67	regen-mana		36	40	mana/lvl	4									2hcw										0	0	0
																																						
of Conviction	100	1	1	20	45	18				13	68	allskills		1	1											knfc										0	0	0
of Conviction	100	1	1	60		48				12	68	allskills		1	1											knfc										0	0	0
of Doctrine	100	1	1	80		60				11	68	allskills		1	2											knfc										0	0	0
of Doctrine	100	1	1	95		66				10	68	allskills		2	2											knfc										0	0	0
																																						
of Law	100	1	1	20	45	18				13	68	allskills		1	1											stfc										0	0	0
of Law	100	1	1	60		48				12	68	allskills		1	2											stfc										0	0	0
of Ideology	100	1	1	80		60				11	68	allskills		2	2											stfc										0	0	0
of Ideology	100	1	1	95		66				10	68	allskills		2	3											stfc										0	0	0
																																						
of Aeons	100	1	1	20	45	18				2	69	indestruct				ease		5	10	dmg%		10	20			1hsw	2hsw									0	0	0
of Aeons	100	1	1	60		48				2	69	indestruct				ease		11	15	dmg%		20	30			1hsw	2hsw									0	0	0
of the Dullahan	100	1	1	80		60				2	69	indestruct				ease		16	20	dmg%		30	40			1hsw	2hsw									0	0	0
of the Dullahan	100	1	1	95		66				2	69	indestruct				ease		21	25	dmg%		40	50			1hsw	2hsw									0	0	0
																																						
of Callisto	100	1	1	1	10	1				28	300	str		1	3											amul	ring									0	0	0
of Callisto	100	1	1	5	15	3				28	300	str		2	5											amul	ring									0	0	0
of Callisto	100	1	1	10	20	6				28	300	str		3	7											amul	ring									0	0	0
of Jambavan	100	1	1	15	35	12				28	300	str		4	9											amul	ring									0	0	0
of Jambavan	100	1	1	20	45	18				28	300	str		5	11											amul	ring									0	0	0
of Jambavan	100	1	1	25	60	24				28	300	str		6	13											amul	ring									0	0	0
of Otso	100	1	1	35	80	33				28	300	str		7	15											amul										0	0	0
of Otso	100	1	1	35		33				28	300	str		7	15											ring										0	0	0
of Otso	100	1	1	45	95	42				28	300	str		8	17											amul										0	0	0
of Otso	100	1	1	45		42				28	300	str		8	17											ring										0	0	0
of Otso	100	1	1	60		48				26	300	str		9	19											amul	ring									0	0	0
of Ayula	100	1	1	80		60				24	300	str		10	21											amul										0	0	0
of Ayula	100	1	1	95		66				22	300	str		11	23											amul										0	0	0
of the Onikuma	100	1	1	95		66				20	300	str		12	25											amul										0	0	0
																																						
of Orthrus	100	1	1	1	10	1				28	301	dex		1	3											amul	ring									0	0	0
of Orthrus	100	1	1	5	15	3				28	301	dex		2	5											amul	ring									0	0	0
of Orthrus	100	1	1	10	20	6				28	301	dex		3	7											amul	ring									0	0	0
of Asena	100	1	1	15	35	12				28	301	dex		4	9											amul	ring									0	0	0
of Asena	100	1	1	20	45	18				28	301	dex		5	11											amul	ring									0	0	0
of Asena	100	1	1	25	60	24				28	301	dex		6	13											amul	ring									0	0	0
of Cerebus	100	1	1	35	80	33				28	301	dex		7	15											amul										0	0	0
of Cerebus	100	1	1	35		33				28	301	dex		7	15											ring										0	0	0
of Cerebus	100	1	1	45	95	42				28	301	dex		8	17											amul										0	0	0
of Cerebus	100	1	1	45		42				28	301	dex		8	17											ring										0	0	0
of Cerebus	100	1	1	60		48				26	301	dex		9	19											amul	ring									0	0	0
of the Chupacabra	100	1	1	80		60				24	301	dex		10	21											amul										0	0	0
of the Chupacabra	100	1	1	95		66				22	301	dex		11	23											amul										0	0	0
of Fenrir	100	1	1	95		66				20	301	dex		12	25											amul										0	0	0
																																						
of the Griffin	100	1	1	1	10	1				28	302	enr		1	3											amul	ring									0	0	0
of the Griffin	100	1	1	5	15	3				28	302	enr		2	5											amul	ring									0	0	0
of the Griffin	100	1	1	10	20	6				28	302	enr		3	7											amul	ring									0	0	0
of the Salmon	100	1	1	15	35	12				28	302	enr		4	9											amul	ring									0	0	0
of the Salmon	100	1	1	20	45	18				28	302	enr		5	11											amul	ring									0	0	0
of the Salmon	100	1	1	25	60	24				28	302	enr		6	13											amul	ring									0	0	0
of the Sphinx	100	1	1	35	80	33				28	302	enr		7	15											amul										0	0	0
of the Sphinx	100	1	1	35		33				28	302	enr		7	15											ring										0	0	0
of the Sphinx	100	1	1	45	95	42				28	302	enr		8	17											amul										0	0	0
of the Sphinx	100	1	1	45		42				28	302	enr		8	17											ring										0	0	0
of the Sphinx	100	1	1	60		48				26	302	enr		9	19											amul	ring									0	0	0
of Baize	100	1	1	80		60				24	302	enr		10	21											amul										0	0	0
of Baize	100	1	1	95		66				22	302	enr		11	23											amul										0	0	0
of Athena	100	1	1	95		66				20	302	enr		12	25											amul										0	0	0
																																						
of the Faun	100	1	1	1	10	1				28	303	vit		1	3											amul	ring									0	0	0
of the Faun	100	1	1	5	15	3				28	303	vit		2	5											amul	ring									0	0	0
of the Faun	100	1	1	10	20	6				28	303	vit		3	7											amul	ring									0	0	0
of the Nymph	100	1	1	15	35	12				28	303	vit		4	9											amul	ring									0	0	0
of the Nymph	100	1	1	20	45	18				28	303	vit		5	11											amul	ring									0	0	0
of the Nymph	100	1	1	25	60	24				28	303	vit		6	13											amul	ring									0	0	0
of the Satyr	100	1	1	35	80	33				28	303	vit		7	15											amul										0	0	0
of the Satyr	100	1	1	35		33				28	303	vit		7	15											ring										0	0	0
of the Satyr	100	1	1	45	95	42				28	303	vit		8	17											amul										0	0	0
of the Satyr	100	1	1	45		42				28	303	vit		8	17											ring										0	0	0
of the Satyr	100	1	1	60		48				26	303	vit		9	19											amul	ring									0	0	0
of the Incubus	100	1	1	80		60				24	303	vit		10	21											amul										0	0	0
of the Incubus	100	1	1	95		66				22	303	vit		11	23											amul										0	0	0
of the Succubus	100	1	1	95		66				20	303	vit		12	25											amul										0	0	0
																																						
of Steadiness 	100	1	1	5	15	3				28	304	balance1		6	10											amul	ring									0	0	0
of Steadiness	100	1	1	15	35	12				28	304	balance1		8	12											amul	ring									0	0	0
of Steadiness	100	1	1	25	60	24				26	304	balance2		10	14											amul	ring									0	0	0
of Composure	100	1	1	45	95	42				24	304	balance2		12	16											amul	ring									0	0	0
of Composure	100	1	1	80		60				22	304	balance3		14	18											amul	ring									0	0	0
of Composure	100	1	1	95		66				20	304	balance3		16	20											amul	ring									0	0	0
																																						
of Speed	100	1	1	5	15	3				28	305	swing1		6	10											amul	ring									0	0	0
of Speed	100	1	1	15	35	12				28	305	swing1		8	12											amul	ring									0	0	0
of Speed	100	1	1	25	60	24				26	305	swing2		10	14											amul	ring									0	0	0
of Celerity	100	1	1	45	95	42				24	305	swing2		12	16											amul	ring									0	0	0
of Celerity	100	1	1	80		60				22	305	swing2		14	18											amul	ring									0	0	0
of Celerity	100	1	1	95		66				20	305	swing2		16	20											amul	ring									0	0	0
																																						
of Intelligence	100	1	1	5	15	3				28	305	cast1		6	10											amul	ring									0	0	0
of Intelligence	100	1	1	15	35	12				28	305	cast1		8	12											amul	ring									0	0	0
of Intelligence	100	1	1	25	60	24				26	305	cast1		10	14											amul	ring									0	0	0
of Perception	100	1	1	45	95	42				24	305	cast1		12	16											amul	ring									0	0	0
of Perception	100	1	1	80		60				22	305	cast1		14	18											amul	ring									0	0	0
of Perception	100	1	1	95		66				20	305	cast2		16	20											amul	ring									0	0	0
																																						
of the Carbuncle	100	1	1	20	45	18				13	306	gold%		6	12											ring										0	0	0
of the Carbuncle	100	1	1	60		48				12	306	gold%		10	16											ring										0	0	0
of the Leprechaun	100	1	1	80		60				11	306	gold%		14	20											ring										0	0	0
of the Leprechaun	100	1	1	95		66				10	306	gold%		18	24											ring										0	0	0
of the Leprechaun	100	1	1	95		66				2	306	gold%/lvl	3													ring										0	0	0
																																						
of the Drawf	100	1	1	20	45	18				13	307	mag%		6	12											amul										0	0	0
of the Drawf	100	1	1	60		48				12	307	mag%		10	16											amul										0	0	0
of the Sarimanok	100	1	1	80		60				11	307	mag%		14	20											amul										0	0	0
of the Sarimanok	100	1	1	95		66				10	307	mag%		18	24											amul										0	0	0
of the Sarimanok	100	1	1	95		66				2	307	mag%/lvl	3													amul										0	0	0
																																						
of Sengir	100	1	1	5	15	3				18	308	lifesteal		1	1											ring										0	0	0
of Sengir	100	1	1	15	35	12				18	308	lifesteal		1	2											ring										0	0	0
of Falkenrath	100	1	1	25	60	24				18	308	lifesteal		2	3											ring										0	0	0
of Falkenrath	100	1	1	45	95	42				16	308	lifesteal		2	4											ring										0	0	0
of Voldaren	100	1	1	80		60				14	308	lifesteal		3	5											ring										0	0	0
of Voldaren	100	1	1	95		66				12	308	lifesteal		3	6											ring										0	0	0
																																						
of Malakir	100	1	1	5	15	3				18	309	manasteal		1	1											ring										0	0	0
of Malakir	100	1	1	15	35	12				18	309	manasteal		1	2											ring										0	0	0
of Markov	100	1	1	25	60	24				18	309	manasteal		2	3											ring										0	0	0
of Markov	100	1	1	45	95	42				16	309	manasteal		2	4											ring										0	0	0
of Stormkirk	100	1	1	80		60				14	309	manasteal		3	5											ring										0	0	0
of Stormkirk	100	1	1	95		66				12	309	manasteal		3	6											ring										0	0	0
																																						
of the Bloodseeker	100	1	1	5	15	3				18	308	heal-kill		1	3											ring										0	0	0
of the Bloodseeker	100	1	1	15	35	12				18	308	heal-kill		3	6											ring										0	0	0
of the Bloodcrazed	100	1	1	25	60	24				18	308	heal-kill		5	9											ring										0	0	0
of the Bloodcrazed	100	1	1	45	95	42				16	308	heal-kill		7	12											ring										0	0	0
of the Bloodfire	100	1	1	80		60				14	308	heal-kill		9	15											ring										0	0	0
of the Bloodfire	100	1	1	95		66				12	308	heal-kill		11	18											ring										0	0	0
																																						
of Mana Geyser	100	1	1	5	15	3				18	309	mana-kill		1	3											ring										0	0	0
of Mana Geyser	100	1	1	15	35	12				18	309	mana-kill		3	6											ring										0	0	0
of Mana Flare	100	1	1	25	60	24				18	309	mana-kill		5	9											ring										0	0	0
of Mana Flare	100	1	1	45	95	42				16	309	mana-kill		7	12											ring										0	0	0
of Mana Echoes	100	1	1	80		60				14	309	mana-kill		9	15											ring										0	0	0
of Mana Echoes	100	1	1	95		66				12	309	mana-kill		11	18											ring										0	0	0
																																						
of the Simurgh	100	1	1	5	15	3				28	310	regen		7	14	hp/lvl	1									amul										0	0	0
of the Simurgh	100	1	1	15	35	12				28	310	regen		12	19	hp/lvl	1									amul										0	0	0
of the Simurgh	100	1	1	25	60	24				26	310	regen		17	24	hp/lvl	1									amul										0	0	0
of the Phoenix	100	1	1	45	95	42				24	310	regen		22	29	hp/lvl	2									amul										0	0	0
of the Phoenix	100	1	1	80		60				22	310	regen		27	34	hp/lvl	2									amul										0	0	0
of the Phoenix	100	1	1	95		66				20	310	regen		32	39	hp/lvl	2									amul										0	0	0
																																						
of the Vault	100	1	1	5	15	3				28	311	regen-mana		7	14	mana/lvl	2									amul										0	0	0
of the Vault	100	1	1	15	35	12				28	311	regen-mana		12	19	mana/lvl	2									amul										0	0	0
of the Vault	100	1	1	25	60	24				26	311	regen-mana		17	24	mana/lvl	2									amul										0	0	0
of the Crypt	100	1	1	45	95	42				24	311	regen-mana		22	29	mana/lvl	3									amul										0	0	0
